PubId,Town Name,State,Subdomain,Full Region,WBS Code,Publish Date,DMA,Lat,Lng,Zip Codes
85,Sudbury,MA,sudbury,PATCHUS_BOS1 PATCHUS_BOS1_REG2 PATCHUS_BOS1_REG2_CLS4,US_MA_SUDBURY,8/26/10,boston,42.388815,-71.423388,1776
87,Bronxville-Eastchester,NY,bronxville,PATCHUS_HVF2 PATCHUS_HVF1_REG1 PATCHUS_HVF1_REG1_CLS2,US_NY_BRONXVLLEASTCHSTER,5/5/10,newyork,40.939687,-73.826348,"10707, 10708, 10709"
88,Yorktown-Somers,NY,yorktown-somers,PATCHUS_HVF2 PATCHUS_HVF1_REG2 PATCHUS_HVF1_REG2_CLS2,US_NY_YORKTOWN,5/28/10,newyork,41.272829,-73.808496,"10598, 10589"
89,West Orange,NJ,westorange,PATCHUS_NNJ3 PATCHUS_NNJ1_REG2 PATCHUS_NNJ1_REG2_CLS6,US_NJ_WESTORANGE,6/30/10,newyork,40.791975,-74.26297,7052
90,Port Chester,NY,portchester,PATCHUS_HVF2 PATCHUS_HVF1_REG1 PATCHUS_HVF1_REG1_CLS1,US_NY_PORTCHESTER,6/28/10,newyork,41.005429,-73.667475,10573
91,Monroe,CT,monroe,PATCHUS_HVF2 PATCHUS_HVF2_REG1 PATCHUS_HVF2_REG1_CLS5,US_CT_MONROE,6/30/10,hartford,41.342753,-73.231458,6468
92,Southbury,CT,southbury,PATCHUS_HVF2 PATCHUS_CCT1_REG2 PATCHUS_CCT1_REG2_CLS4,US_CT_SOUTHBURY,6/30/10,hartford,41.467376,-73.241383,6488
93,Rivertowns,NY,rivertowns,PATCHUS_HVF2 PATCHUS_HVF1_REG1 PATCHUS_HVF1_REG1_CLS3,US_NY_HASTINGS_DOBBSFRRY,5/28/10,newyork,41.011391,-73.869457,"10502, 10522, 10533, 10706"
94,Parsippany-Troy Hills,NJ,parsippany,PATCHUS_NNJ3 PATCHUS_NNJ1_REG2 PATCHUS_NNJ1_REG2_CLS11,US_NJ_PARSIPPANY,12/2/10,newyork,40.863451,-74.437217,7054
96,Nyack-Piermont,NY,nyack,PATCHUS_HVF2 PATCHUS_HVF1_REG1 PATCHUS_HVF1_REG1_CLS2,US_NY_NYACK_PIERMONT,7/30/10,newyork,41.091596,-73.916231,"10960, 10968, 10994"
97,Nanuet,NY,nanuet,PATCHUS_HVF2 PATCHUS_HVF1_REG1 PATCHUS_HVF1_REG1_CLS3,US_NY_NANUET,8/18/10,newyork,41.135245,-73.964383,10954
98,Pearl River,NY,pearlriver,PATCHUS_HVF2 PATCHUS_HVF1_REG1 PATCHUS_HVF1_REG1_CLS3,US_NY_PEARLRIVER,12/29/10,newyork,41.048997,-73.970283,10965
99,West Islip,NY,westislip,PATCHUS_LI1 PATCHUS_LI2_REG1 PATCHUS_LI2_REG1_CLS2,US_NY_WESTISLIP,5/27/10,newyork,40.696081,-73.309738,11795
100,Commack,NY,commack,PATCHUS_LI1 PATCHUS_LI2_REG2 PATCHUS_LI2_REG2_CLS1,US_NY_COMMACK,6/28/10,newyork,40.842962,-73.207504,11725
101,Smithtown,NY,smithtown,PATCHUS_LI1 PATCHUS_LI2_REG2 PATCHUS_LI2_REG2_CLS1,US_NY_SMITHTOWN,8/6/10,newyork,40.822774,-73.393272,"11787, 11767, 11780"
102,Three Village,NY,threevillage,PATCHUS_LI1 PATCHUS_LI2_REG2 PATCHUS_LI2_REG2_CLS2,US_NY_THREEVILLAGE,6/30/10,newyork,40.934685,-73.100869,"11733, 11790"
103,Sayville-Bayport,NY,sayville,PATCHUS_LI1 PATCHUS_LI2_REG1 PATCHUS_LI2_REG1_CLS1,US_NY_SAYVILLE,6/22/10,newyork,40.734373,-73.081377,"11782, 11705, 11715"
104,Patchogue,NY,patchogue,PATCHUS_LI1 PATCHUS_LI2_REG1 PATCHUS_LI2_REG1_CLS1,US_NY_PATCHOGUE,5/28/10,newyork,40.759796,-73.019367,11772
106,Bethesda-Chevy Chase,MD,bethesda-chevychase,PATCHUS_MD1 PATCHUS_MD2_REG2 PATCHUS_MD2_REG2_CLS3,US_MD_BETHESDA,9/20/10,washington-dc,38.980693,-77.097889,"20814, 20817, 20815"
107,Potomac,MD,potomac,PATCHUS_MD1 PATCHUS_MD2_REG2 PATCHUS_MD2_REG2_CLS3,US_MD_POTOMAC,9/10/10,washington-dc,39.018101,-77.2089,20854
108,Rockville,MD,rockville,PATCHUS_MD1 PATCHUS_MD2_REG2 PATCHUS_MD2_REG2_CLS5,US_MD_ROCKVILLE,10/20/10,washington-dc,39.086934,-77.154026,"20850, 20852"
109,Hingham,MA,hingham,PATCHUS_CNE1 PATCHUS_CNE3_REG1 PATCHUS_CNE3_REG1_CLS1,US_MA_HINGHAM,3/30/11,boston,42.216094,-70.880212,2043
110,Marblehead,MA,marblehead,PATCHUS_BOS1 PATCHUS_BOS2_REG1 PATCHUS_BOS2_REG1_CLS1,US_MA_MARBLEHEAD,5/28/10,boston,42.501778,-70.852105,1945
111,Lake Forest-Lake Bluff,IL,lakeforest,PATCHUS_CM1 PATCHUS_CM1_REG1 PATCHUS_CM1_REG1_CLS2,US_IL_LAKEFOREST,10/27/10,chicago,42.241634,-87.854279,"60044, 60045"
112,Natick,MA,natick,PATCHUS_CNE1 PATCHUS_BOS3_REG2 PATCHUS_BOS3_REG2_CLS1,US_MA_NATICK,12/14/10,boston,42.289774,-71.352428,1760
113,Arlington,MA,arlington,PATCHUS_BOS1 PATCHUS_BOS2_REG2 PATCHUS_BOS2_REG2_CLS5,US_MA_ARLINGTON,4/28/10,boston,42.416885,-71.167495,"02474, 02476"
114,Lexington,MA,lexington,PATCHUS_BOS1 PATCHUS_BOS1_REG2 PATCHUS_BOS1_REG2_CLS1,US_MA_LEXINGTON,5/28/10,boston,42.448081,-71.225089,"02420, 02421"
115,Calabasas,CA,calabasas,PATCHUS_SCA2 PATCHUS_SCA1_REG2 PATCHUS_SCA1_REG2_CLS3,US_CA_CALABASAS,4/15/10,losangeles,34.136149,-118.662863,91302
116,Westwood,MA,westwood,PATCHUS_CNE1 PATCHUS_BOS3_REG2 PATCHUS_BOS3_REG2_CLS1,US_MA_WESTWOOD,6/30/10,boston,42.221326,-71.198576,2090
117,Brookline,MA,brookline,PATCHUS_BOS1 PATCHUS_BOS2_REG3 PATCHUS_BOS2_REG3_CLS5,US_MA_BROOKLINE,6/30/10,boston,42.323204,-71.142347,"02445, 02446, 02467"
118,Reading,MA,reading,PATCHUS_BOS1 PATCHUS_BOS2_REG2 PATCHUS_BOS2_REG2_CLS6,US_MA_READING,7/30/10,boston,42.533539,-71.103607,"01867, 01864"
119,Easton,MA,easton-ma,PATCHUS_CNE1 PATCHUS_BOS3_REG1 PATCHUS_BOS3_REG1_CLS1,US_MA_EASTON,10/7/10,boston,42.039945,-71.111442,"02356, 02375"
120,Agoura Hills,CA,agourahills,PATCHUS_SCA2 PATCHUS_SCA1_REG2 PATCHUS_SCA1_REG2_CLS3,US_CA_AGOURAHILLS,5/23/10,losangeles,34.146749,-118.759834,91301
121,La Canada Flintridge,CA,lacanadaflintridge,PATCHUS_SCA2 PATCHUS_SCA2_REG1 PATCHUS_SCA2_REG1_CLS1,US_CA_LACANADAFLINTRIDGE,12/7/10,losangeles,34.210699,-118.200466,91011
122,Waltham,MA,waltham,PATCHUS_BOS1 PATCHUS_BOS1_REG2 PATCHUS_BOS1_REG2_CLS3,US_MA_WALTHAM,12/28/10,boston,42.388971,-71.239691,"02451, 02452, 02453"
123,Melrose,MA,melrose,PATCHUS_BOS1 PATCHUS_BOS2_REG2 PATCHUS_BOS2_REG2_CLS4,US_MA_MELROSE,5/28/10,boston,42.457202,-71.054108,2176
124,Plymouth,MA,plymouth,PATCHUS_CNE1 PATCHUS_CNE3_REG1 PATCHUS_CNE3_REG1_CLS1,US_MA_PLYMOUTH,12/28/10,boston,41.888249,-70.634857,2360
125,Sharon,MA,sharon,PATCHUS_CNE1 PATCHUS_BOS3_REG1 PATCHUS_BOS3_REG1_CLS1,US_MA_SHARON,10/5/10,boston,42.1121,-71.185612,2067
127,Moorpark,CA,moorpark,PATCHUS_NCA3 PATCHUS_NCA3_REG1 PATCHUS_NCA3_REG1_CLS1,US_CA_MOORPARK,9/28/10,losangeles,34.283457,-118.870799,93021
128,South Pasadena,CA,southpasadena,PATCHUS_SCA2 PATCHUS_SCA2_REG1 PATCHUS_SCA2_REG1_CLS3,US_CA_SOUTHPASADENA,10/11/10,losangeles,34.112209,-118.156338,91030
129,Montclair,NJ,montclair,PATCHUS_NNJ3 PATCHUS_NNJ1_REG2 PATCHUS_NNJ1_REG2_CLS8,US_NJ_MONTCLAIR,6/30/10,newyork,40.825085,-74.210165,"07042, 07043"
130,Beverly Hills,CA,beverlyhills,PATCHUS_SCA2 PATCHUS_SCA1_REG2 PATCHUS_SCA1_REG2_CLS2,US_CA_BEVERLYHILLS,5/26/10,losangeles,34.082623,-118.399562,"90210, 90211, 90212"
131,Culver City,CA,culvercity,PATCHUS_SCA2 PATCHUS_SCA1_REG1 PATCHUS_SCA1_REG1_CLS2,US_CA_CULVERCITY,6/29/10,losangeles,34.006041,-118.409061,"90230, 90232"
132,West Hollywood,CA,westhollywood,PATCHUS_SCA2 PATCHUS_SCA1_REG2 PATCHUS_SCA1_REG2_CLS1,US_CA_WESTHOLLYWOOD,7/27/10,losangeles,34.08712,-118.369739,"90046, 90048, 90069"
133,Greenwich,CT,greenwich,PATCHUS_HVF2 PATCHUS_HVF2_REG1 PATCHUS_HVF2_REG1_CLS3,US_CT_GREENWICH,12/31/10,newyork,41.047487,-73.639351,"06830, 06831"
