School Year,Division,School,Subject Area,Pass Rate
2011-2012,Buchanan County ,Twin Valley Elementary/Middle,Mathematics,49.15%
2011-2012,Loudoun County ,Mountain View Elementary,Mathematics,73.43%
2011-2012,Prince William County ,Mountain View Elementary,Mathematics,86.99%
2011-2012,Roanoke County ,Mountain View Elementary,Mathematics,66.67%
2011-2012,Rockbridge County ,Mountain View Elementary,Mathematics,71.93%
2011-2012,Rockingham County ,Mountain View Elementary,Mathematics,65.82%
2011-2012,Virginia Beach City ,Corporate Landing Elementary,Mathematics,64.64%
2011-2012,Alleghany County ,Clifton Middle,Mathematics,59.88%
2011-2012,Buchanan County ,Riverview Elementary/Middle,Mathematics,45.94%
2011-2012,Washington County ,John S. Battle High,Mathematics,45.42%
2011-2012,Fairfax County ,Parklawn Elementary,Mathematics,68.10%
2011-2012,Tazewell County ,Tazewell Elementary,Mathematics,82.05%
2011-2012,Virginia Beach City ,Landstown High,Mathematics,57.83%
2011-2012,Washington County ,Abingdon High,Mathematics,61.92%
2011-2012,Buchanan County ,Hurley High,Mathematics,51.79%
2011-2012,Fairfax County ,Lee High,Mathematics,59.00%
2011-2012,Lee County ,Lee High,Mathematics,34.38%
2011-2012,Tazewell County ,Abb's Valley-Boissevain Elementary,Mathematics,88.75%
2011-2012,Virginia Beach City ,New Castle Elementary,Mathematics,71.94%
2011-2012,Washington County ,Valley Institute Elementary,Mathematics,56.46%
2011-2012,Wise County ,Wise Primary,Mathematics,77.45%
2011-2012,Wise County ,Powell Valley Middle,Mathematics,80.72%
2011-2012,Wise County ,Powell Valley Primary,Mathematics,74.80%
2011-2012,Wise County ,Union High,Mathematics,51.13%
2011-2012,Buchanan County ,Council High,Mathematics,49.51%
2011-2012,Mecklenburg County ,Clarksville Elementary,Mathematics,58.70%
2011-2012,Buchanan County ,Grundy High,Mathematics,64.84%
2011-2012,Virginia Beach City ,Christopher Farms Elementary,Mathematics,64.66%
2011-2012,Bedford County ,Huddleston Elementary,Mathematics,52.48%
2011-2012,Fairfax County ,Kent Gardens Elementary,Mathematics,87.14%
2011-2012,Franklin County ,Windy Gap Elementary,Mathematics,78.68%
2011-2012,Mecklenburg County ,Bluestone  High,Mathematics,36.44%
2011-2012,Tazewell County ,Springville Elementary,Mathematics,75.36%
2011-2012,Virginia Beach City ,Corporate Landing Middle,Mathematics,53.87%
2011-2012,Chesapeake City ,Jolliff Middle,Mathematics,69.06%
2011-2012,Chesapeake City ,Greenbrier Middle,Mathematics,70.74%
2011-2012,Chesapeake City ,Truitt Intermediate,Mathematics,53.36%
2011-2012,Bedford County ,Moneta Elementary,Mathematics,51.00%
