School Year,Division,School,Subject Area,Pass Rate
2011-2012,Loudoun County ,Park View High,Mathematics,36.44%
2011-2012,Manassas City ,George Carr Round Elementary,Mathematics,80.34%
2011-2012,Mecklenburg County ,Park View High,Mathematics,46.05%
2011-2012,Portsmouth City ,Park View Elementary,Mathematics,60.92%
2011-2012,Prince William County ,Woodbridge High,Mathematics,46.37%
2011-2012,Roanoke City ,Morningside Elementary,Mathematics,70.69%
2011-2012,Roanoke County ,W.E. Cundiff Elementary,Mathematics,85.71%
2011-2012,Spotsylvania County ,Salem Elementary,Mathematics,72.82%
2011-2012,Spotsylvania County ,Spotswood Elementary,Mathematics,58.48%
2011-2012,Stafford County ,Rockhill Elementary,Mathematics,71.58%
2011-2012,Virginia Beach City ,Birdneck Elementary,Mathematics,66.39%
2011-2012,Virginia Beach City ,Salem Elementary,Mathematics,75.77%
2011-2012,Williamsburg-James City County ,Berkeley Middle,Mathematics,75.70%
2011-2012,Winchester City ,John Kerr Elementary,Mathematics,75.00%
2011-2012,York County ,Yorktown Middle,Mathematics,82.98%
2011-2012,Alexandria City ,Patrick Henry Elementary,Mathematics,30.43%
2011-2012,Charlottesville City ,Clark Elementary,Mathematics,58.90%
2011-2012,Chesapeake City ,George W. Carver Intermediate,Mathematics,52.18%
2011-2012,Chesterfield County ,C.C. Wells Elementary,Mathematics,75.29%
2011-2012,Colonial Heights City ,Lakeview Elementary,Mathematics,67.50%
2011-2012,Culpeper County ,Eastern View High,Mathematics,43.83%
2011-2012,Greensville County ,Greensville Elementary,Mathematics,60.36%
2011-2012,Hampton City ,Phoebus High,Mathematics,33.46%
2011-2012,Harrisonburg City ,Keister Elementary,Mathematics,73.25%
2011-2012,Henrico County ,Longdale Elementary,Mathematics,60.96%
2011-2012,Isle of Wight County ,Smithfield Middle,Mathematics,75.21%
2011-2012,King George County ,Potomac Elementary,Mathematics,81.76%
2011-2012,Martinsville City ,Patrick Henry Elementary,Mathematics,72.81%
2011-2012,Newport News City ,David A. Dutrow Elementary,Mathematics,47.14%
2011-2012,Orange County ,Locust Grove Elementary,Mathematics,68.22%
2011-2012,Page County ,Springfield Elementary,Mathematics,81.55%
2011-2012,Portsmouth City ,Lakeview Elementary,Mathematics,65.68%
2011-2012,Richmond City ,Binford Middle,Mathematics,33.63%
2011-2012,Roanoke City ,Fallon Park Elementary,Mathematics,76.54%
2011-2012,Roanoke County ,Penn Forest Elementary,Mathematics,84.49%
2011-2012,Shenandoah County ,Signal Knob Middle,Mathematics,57.96%
2011-2012,Spotsylvania County ,Battlefield Middle,Mathematics,66.06%
2011-2012,Stafford County ,Widewater Elementary,Mathematics,61.56%
2011-2012,Virginia Beach City ,Salem Middle,Mathematics,65.20%
2011-2012,Washington County ,Rhea Valley Elementary,Mathematics,61.23%
2011-2012,Williamsburg-James City County ,Rawls Byrd Elementary,Mathematics,81.45%
2011-2012,Winchester City ,Garland R. Quarles Elementary,Mathematics,53.61%
2011-2012,York County ,Tabb Elementary,Mathematics,79.33%
2011-2012,Radford City ,John N. Dalton Intermediate,Mathematics,55.97%
2011-2012,Scott County ,Dungannon Intermediate,Mathematics,69.12%
2011-2012,Radford City ,Radford High,Mathematics,68.94%
2011-2012,Stafford County ,Garrisonville Elementary,Mathematics,85.20%
2011-2012,Albemarle County ,Mary Carr Greer Elementary,Mathematics,47.51%
2011-2012,Augusta County ,North River Elementary,Mathematics,52.27%
2011-2012,Botetourt County ,Troutville Elementary,Mathematics,66.05%
2011-2012,Buena Vista City ,Enderly Heights Elementary,Mathematics,35.00%
2011-2012,Charlottesville City ,Venable Elementary,Mathematics,82.69%
2011-2012,Chesapeake City ,Thurgood Marshall Elementary,Mathematics,42.99%
2011-2012,Chesterfield County ,Midlothian Middle,Mathematics,89.48%
2011-2012,Colonial Heights City ,Colonial Heights High,Mathematics,45.03%
2011-2012,Culpeper County ,Yowell Elementary,Mathematics,70.90%
2011-2012,Danville City ,Schoolfield Elementary,Mathematics,62.65%
2011-2012,Frederick County ,Indian Hollow Elementary,Mathematics,59.70%
2011-2012,Fredericksburg City ,James Monroe High,Mathematics,49.71%
2011-2012,Hanover County ,South Anna Elementary,Mathematics,83.08%
2011-2012,Hopewell City ,Dupont Elementary,Mathematics,58.42%
2011-2012,Isle of Wight County ,Smithfield High,Mathematics,51.42%
2011-2012,Loudoun County ,Rolling Ridge Elementary,Mathematics,60.00%
2011-2012,Norfolk City ,Camp Allen Elementary,Mathematics,50.29%
2011-2012,Northumberland County ,Northumberland High,Mathematics,61.44%
2011-2012,Norton City ,Norton Elementary,Mathematics,55.31%
2011-2012,Prince William County ,Rockledge Elementary,Mathematics,76.23%
2011-2012,Prince William County ,Thurgood Marshall Elementary,Mathematics,86.38%
2011-2012,Roanoke County ,Fort Lewis Elementary,Mathematics,82.46%
2011-2012,Shenandoah County ,North Fork Middle,Mathematics,77.26%
2011-2012,Spotsylvania County ,Chancellor Elementary,Mathematics,85.47%
2011-2012,Stafford County ,Andrew G. Wright Middle,Mathematics,83.07%
2011-2012,Staunton City ,Arthur R. Ware Elementary,Mathematics,71.27%
2011-2012,Virginia Beach City ,Centerville Elementary,Mathematics,70.00%
2011-2012,Washington County ,Damascus Middle,Mathematics,58.37%
2011-2012,Williamsburg-James City County ,Clara Byrd Baker Elementary,Mathematics,81.72%
2011-2012,Winchester City ,John Handley High,Mathematics,54.79%
2011-2012,Fairfax County ,Herndon Middle,Mathematics,65.69%
2011-2012,Fairfax County ,Herndon High,Mathematics,60.93%
2011-2012,Franklin County ,Benjamin Franklin Middle-East,Mathematics,83.25%
2011-2012,Galax City ,Galax Middle,Mathematics,54.72%
2011-2012,Franklin County ,Benjamin Franklin Middle-West,Mathematics,74.77%
2011-2012,Galax City ,Galax High,Mathematics,58.00%
2011-2012,Loudoun County ,Dominion High,Mathematics,64.89%
2011-2012,Manassas Park City ,Manassas Park Middle,Mathematics,76.62%
2011-2012,Albemarle County ,Scottsville Elementary,Mathematics,55.29%
2011-2012,Alexandria City ,Mount Vernon Elementary,Mathematics,56.12%
2011-2012,Augusta County ,Cassell Elementary,Mathematics,61.33%
2011-2012,Bedford County ,Big Island Elementary,Mathematics,69.39%
2011-2012,Botetourt County ,Eagle Rock Elementary,Mathematics,64.00%
2011-2012,Chesterfield County ,Chesterfield Community High,Mathematics,12.89%
2011-2012,Colonial Heights City ,North Elementary,Mathematics,57.89%
2011-2012,Frederick County ,James Wood High,Mathematics,50.36%
2011-2012,Greene County ,Ruckersville Elementary,Mathematics,61.77%
2011-2012,Halifax County ,South Boston Elementary,Mathematics,62.46%
2011-2012,Hampton City ,Francis Asbury Elementary,Mathematics,88.46%
2011-2012,Hanover County ,Rural Point Elementary,Mathematics,78.91%
2011-2012,Harrisonburg City ,Waterman Elementary,Mathematics,70.73%
2011-2012,Loudoun County ,Seneca Ridge Middle,Mathematics,69.46%
2011-2012,Manassas Park City ,Manassas Park High,Mathematics,46.24%
2011-2012,Montgomery County ,Eastern Montgomery Elementary,Mathematics,58.01%
2011-2012,Norfolk City ,William H. Ruffner Middle,Mathematics,42.01%
2011-2012,Pittsylvania County ,John L. Hurt Elementary,Mathematics,51.79%
2011-2012,Prince George County ,North Elementary,Mathematics,77.17%
2011-2012,Prince William County ,Minnieville Elementary,Mathematics,72.92%
2011-2012,Richmond City ,Albert Hill Middle,Mathematics,55.23%
2011-2012,Shenandoah County ,Peter Muhlenberg Middle,Mathematics,75.37%
2011-2012,Spotsylvania County ,Lee Hill Elementary,Mathematics,64.69%
2011-2012,Stafford County ,North Stafford High,Mathematics,52.43%
2011-2012,Staunton City ,Robert E. Lee High,Mathematics,52.91%
2011-2012,Surry County ,Luther P. Jackson Middle,Mathematics,67.83%
2011-2012,Virginia Beach City ,Frank W. Cox High,Mathematics,55.68%
2011-2012,York County ,York High,Mathematics,42.09%
2011-2012,Colonial Beach ,Colonial Beach Elementary,Mathematics,48.53%
2011-2012,Spotsylvania County ,Courtland Elementary,Mathematics,79.27%
2011-2012,Colonial Beach ,Colonial Beach High,Mathematics,47.14%
2011-2012,Powhatan County ,Flat Rock Elementary,Mathematics,63.42%
2011-2012,Albemarle County ,Leslie H. Walton Middle,Mathematics,67.36%
2011-2012,Amherst County ,Monelison Middle,Mathematics,61.95%
2011-2012,Botetourt County ,Buchanan Elementary,Mathematics,70.95%
2011-2012,Buchanan County ,J.M. Bevins Elementary,Mathematics,32.00%
2011-2012,Campbell County ,Brookville Middle,Mathematics,66.47%
2011-2012,Chesterfield County ,Bon Air Elementary,Mathematics,78.00%
2011-2012,Colonial Heights City ,Colonial Heights Middle,Mathematics,75.55%
2011-2012,Culpeper County ,Culpeper Middle,Mathematics,74.22%
2011-2012,Danville City ,Forest Hills Elementary,Mathematics,86.99%
2011-2012,Fairfax County ,Fairfax High,Mathematics,67.19%
2011-2012,Fauquier County ,Mary Walter Elementary,Mathematics,62.39%
2011-2012,Franklin City ,Franklin High,Mathematics,22.86%
2011-2012,Franklin County ,Dudley Elementary,Mathematics,75.00%
2011-2012,Frederick County ,Bass-Hoover Elementary,Mathematics,58.94%
2011-2012,Greene County ,Nathanael Greene Elementary,Mathematics,51.97%
2011-2012,Halifax County ,Cluster Springs Elementary,Mathematics,74.92%
2011-2012,Hanover County ,Beaverdam Elementary,Mathematics,68.18%
2011-2012,Henrico County ,Glen Allen Elementary,Mathematics,84.77%
2011-2012,Henry County ,Magna Vista High,Mathematics,43.54%
2011-2012,Loudoun County ,J. Lupton Simpson Middle,Mathematics,64.95%
2011-2012,Manassas City ,Richard C. Haydon Elementary,Mathematics,53.23%
2011-2012,Nelson County ,Tye River Elementary,Mathematics,59.06%
2011-2012,Norfolk City ,Blair Middle,Mathematics,53.31%
2011-2012,Prince Edward County ,Prince Edward Middle,Mathematics,62.47%
2011-2012,Prince George County ,Prince George High,Mathematics,50.06%
2011-2012,Prince William County ,Sudley Elementary,Mathematics,65.44%
2011-2012,Pulaski County ,Critzer Elementary,Mathematics,71.13%
2011-2012,Richmond City ,Thomas Jefferson High,Mathematics,40.38%
2011-2012,Richmond County ,Richmond County Elementary,Mathematics,70.23%
2011-2012,Roanoke City ,Crystal Spring Elementary,Mathematics,90.23%
2011-2012,Rockingham County ,Spotswood High,Mathematics,68.07%
2011-2012,Scott County ,Rye Cove Intermediate,Mathematics,69.40%
2011-2012,Shenandoah County ,W.W. Robinson Elementary,Mathematics,60.82%
2011-2012,Southampton County ,Meherrin Elementary,Mathematics,72.73%
2011-2012,Spotsylvania County ,Courtland High,Mathematics,47.68%
2011-2012,Stafford County ,Stafford Senior High,Mathematics,54.33%
2011-2012,Surry County ,Surry Elementary,Mathematics,58.62%
2011-2012,Warren County ,Leslie Fox Keyser Elementary,Mathematics,77.74%
2011-2012,Washington County ,Meadowview Elementary,Mathematics,53.51%
2011-2012,Wise County ,Appalachia Elementary,Mathematics,80.28%
2011-2012,York County ,Bruton High,Mathematics,34.14%
2011-2012,Powhatan County ,Powhatan Elementary,Mathematics,64.77%
2011-2012,Harrisonburg City ,Harrisonburg High,Mathematics,52.31%
2011-2012,Craig County ,Craig County High,Mathematics,55.78%
2011-2012,Grayson County ,Independence Middle,Mathematics,86.52%
2011-2012,Powhatan County ,Powhatan High,Mathematics,59.13%
2011-2012,Virginia Beach City ,Independence Middle,Mathematics,63.49%
2011-2012,Albemarle County ,Hollymead Elementary,Mathematics,79.78%
2011-2012,Alexandria City ,George Washington Middle,Mathematics,60.37%
2011-2012,Amelia County ,Amelia County High,Mathematics,59.54%
2011-2012,Bristol City ,Virginia Middle,Mathematics,61.70%
2011-2012,Buchanan County ,Russell Prater Elementary,Mathematics,55.81%
2011-2012,Charlottesville City ,Johnson Elementary,Mathematics,69.23%
2011-2012,Chesapeake City ,Oscar Smith Middle,Mathematics,60.26%
2011-2012,Chesterfield County ,Lloyd C. Bird High,Mathematics,43.31%
2011-2012,Clarke County ,Clarke County High,Mathematics,46.13%
2011-2012,Craig County ,McCleary Elementary,Mathematics,64.94%
2011-2012,Culpeper County ,Pearl Sample Elementary,Mathematics,58.56%
2011-2012,Dinwiddie County ,Southside Elementary,Mathematics,57.73%
2011-2012,Essex County ,Essex High,Mathematics,30.79%
2011-2012,Fauquier County ,Marshall Middle,Mathematics,73.92%
2011-2012,Franklin City ,S.P. Morton Elementary,Mathematics,40.93%
2011-2012,Frederick County ,Apple Pie Ridge Elementary,Mathematics,61.15%
2011-2012,Galax City ,Galax Elementary,Mathematics,41.58%
2011-2012,Halifax County ,Halifax County High,Mathematics,55.18%
2011-2012,Henrico County ,Three Chopt Elementary,Mathematics,83.97%
2011-2012,Henry County ,Bassett High,Mathematics,62.30%
2011-2012,King George County ,King George Middle,Mathematics,70.52%
2011-2012,Lancaster County ,Lancaster High,Mathematics,35.00%
2011-2012,Loudoun County ,Sugarland Elementary,Mathematics,47.21%
2011-2012,Manassas City ,Weems Elementary,Mathematics,75.23%
2011-2012,Montgomery County ,Harding Avenue Elementary,Mathematics,82.31%
2011-2012,Nelson County ,Rockfish River Elementary,Mathematics,72.34%
2011-2012,Norfolk City ,Matthew Fontaine Maury High,Mathematics,59.41%
2011-2012,Pittsylvania County ,Southside Elementary,Mathematics,70.79%
2011-2012,Poquoson City ,Poquoson High,Mathematics,71.01%
2011-2012,Prince Edward County ,Prince Edward Elementary,Mathematics,54.44%
2011-2012,Pulaski County ,Pulaski County Senior High,Mathematics,44.77%
2011-2012,Radford City ,Belle Heth Elementary,Mathematics,68.28%
2011-2012,Roanoke County ,Hidden Valley Middle,Mathematics,88.10%
2011-2012,Rockingham County ,Plains Elementary,Mathematics,63.89%
2011-2012,Southampton County ,Nottoway Elementary,Mathematics,60.00%
2011-2012,Spotsylvania County ,Battlefield Elementary,Mathematics,75.74%
2011-2012,Stafford County ,Edward E. Drew Jr. Middle,Mathematics,73.33%
2011-2012,Surry County ,Surry County High,Mathematics,56.36%
2011-2012,Tazewell County ,Graham Middle,Mathematics,73.04%
2011-2012,Virginia Beach City ,Green Run High,Mathematics,36.13%
2011-2012,Williamsburg-James City County ,Matthew Whaley Elementary,Mathematics,79.91%
