DISTRICT,ADDRESS,SCHOOL,URL,SCHOOLID,TYPE,Marker_Type,Grade in 2013,POINTTOT,POINTELEMpass,POINTELEMalt,POINTMIDDpass,POINTMIDDalt,POINTHIGH
RICHLAND 1,"Carver-Lyon Elementary, 2100 Waverly Street, Columbia, SC, 29204",CARVER-LYON ELEMENTARY,http://carverlyon.richlandone.org/,4001088,ELEM,small_red,F,33.5,33.5,,,,
RICHLAND 1,"Caughman Road Elementary, 7725 Caughman Road, Columbia, SC, 29209",CAUGHMAN ROAD ELEMENTARY,http://caughman.richlandone.org/,4001032,ELEM,small_green,A,98,98,,,,
COLLETON,"Colleton County High, 150 Cougar Nation Drive, Walterboro, SC, 29488",COLLETON COUNTY HIGH,http://cchs.colleton.k12.sc.us/,1501005,HIGH,small_red,F,55,,,,,55
SUMTER 1,"Crosswell Elementary, 310 Crosswell Drive, Sumter, SC, 29150",CROSSWELL DRIVE ELEMENTARY,http://cde.sumterschools.net/,4301029,ELEM,small_red,F,49.8,49.8,,,,
HORRY,"Conway Elementary, 1101 Snowhill Drive, Conway, SC, 29526",CONWAY ELEMENTARY,http://ce.horrycountyschools.net/,2601036,ELEM,small_yellow,B,81.1,81.1,,,,
ORANGEBURG 4,"Carver Edisto Middle, 2018 Carver School Road, Cordova, SC, 29039",CARVER-EDISTO MIDDLE,http://cem.orangeburg4.schoolfusion.us,3804025,MIDD,measle_turquoise,C,70.9,,,70.9,,
BEAUFORT,"Coosa Elementary, 45 Middle Road, Beaufort, SC, 29907",COOSA ELEMENTARY,http://ces.beaufort.k12.sc.us/,701025,ELEM,small_green,A,94.1,94.1,,,,
DARLINGTON,"Carolina Elementary, 719 West Carolina Avenue, Hartsville, SC, 29550",CAROLINA ELEMENTARY,http://ces.dcsdschools.org/,1601015,ELEM,small_green,A,99,99,,,,
KERSHAW,"Camden Elementary of the Creative Arts, 1304 Lyttleton Street, Camden, SC, 29020",CAMDEN ELEMENTARY SCHOOL FOR THE,http://ces.kcsdschools.com/,2801015,ELEM,small_yellow,B,82.7,82.7,,,,
LANCASTER,"Clinton Elementary, 110 Clinton School Road, Lancaster, SC, 29720",CLINTON ELEMENTARY,http://ces.lancasterscschools.org/home,2901015,ELEM,small_red,F,31.2,31.2,,,,
PICKENS,"Central Elementary, 608 Johnson Road, Central, SC, 29630",CENTRAL ELEMENTARY,http://ces.pickens.k12.sc.us/,3901014,ELEM,small_green,A,93.3,93.3,,,,
SUMTER 1,"Cherryvale Elementary, 1420 Furman Drive, Sumter, SC, 29154",CHERRYVALE ELEMENTARY,http://ces.sumterschools.net/,4301008,ELEM,small_yellow,B,80.2,80.2,,,,
HORRY,"Carolina Forest Elementary, 285 Carolina Forest Boulevard, Myrtle Beach, SC, 29579",CAROLINA FOREST ELEMENTARY,http://cfe.horrycountyschools.net/ ,2601049,ELEM,small_green,A,90.6,90.6,,,,
HORRY,"Carolina Forest High, 700 Gardner Lacy Road, Myrtle Beach, SC, 29579",CAROLINA FOREST HIGH,http://cfh.horrycountyschools.net/,2601052,HIGH,measle_turquoise,C,77.4,,,,,77.4
HORRY,"Conway High, 2301 Church Street, Conway, SC, 29526",CONWAY HIGH,http://ch.horrycountyschools.net/,2601004,HIGH,small_red,F,52.5,,,,,52.5
YORK 3,"Castle Heights Middle, 2382 Firetower Road, Rock Hill, SC, 29730",CASTLE HEIGHTS MIDDLE,http://ch.rock-hill.k12.sc.us/,4603015,MIDD,small_yellow,B,88.1,,,88.1,,
SPARTANBURG 7,"W. Herbert Chapman Elementary, 230 Bryant Road, Spartanburg, SC, 29303",W HERBERT CHAPMAN ELEMENTARY,http://chapman.spartanburg7.org/,4207084,ELEM,measle_turquoise,C,79.6,79.6,,,,
CHARLESTON,"Charleston Charter School for Math and Science, 1002 King Street, Charleston, SC, 29403",CHARLESTON CHARTER SCHOOL FOR MA,http://charlestonmathscience.org/,1001620,COMBO,small_green,A,98.5,,,99.1,,96
CHESTER,"Academy for Teaching and Learning, 109 Hinton Street, Chester, SC, 29706",THE ACADEMY FOR TEACHING AND LEA,http://chester.academy.schooldesk.net/,1201601,COMBO,measle_turquoise,C,75.4,78.6,,70.9,,
CHESTER,"Chester Park Elementary School for the Arts, 835 Lancaster Highway, Chester, SC, 29706",CHESTER PARK ELEMENTARY SCHOOL O,http://chester.arts.schooldesk.net/,1201020,ELEM,measle_turquoise,C,77,77,,,,
CHESTER,"Chester Senior High, 1330 J. A. Cochran Bypass, Chester, SC, 29706",CHESTER SENIOR HIGH,http://chester.chs.schooldesk.net/,1201002,HIGH,small_red,F,46.2,,,,,46.2
CHESTER,"Chester Middle, 1014 McCandless Road, Chester, SC, 29706",CHESTER MIDDLE,http://chester.cms.schooldesk.net/,1201004,MIDD,small_red,F,47,,,47,,
CHESTER,"Great Falls High, 411 Sunset Avenue, Great Falls, SC, 29055",GREAT FALLS HIGH,http://chester.gfmh.schooldesk.net/,1201005,COMBO,small_purple,D,62.2,,,62.6,,61.4
CHESTER,"Great Falls Elementary, 301 Dearborn Street, Great Falls, SC, 29055",GREAT FALLS ELEMENTARY,http://chester.greatfalls.schooldesk.net/,1201011,ELEM,small_purple,D,66.3,66.3,,,,
CHESTER,"Chester Park Elementary of Inquiry, 835 Lancaster Highway, Chester, SC, 29706",CHESTER PARK ELEMENTARY SCHOOL O,http://chester.inquiry.schooldesk.net/,1201018,ELEM,small_red,F,56.2,56.2,,,,
CHESTER,"Lewisville Elementary, 4006 Lewisville High School Road, Richburg, SC, 29729",LEWISVILLE ELEMENTARY,http://chester.lewisville.schooldesk.net/,1201014,ELEM,measle_turquoise,C,78.7,78.7,,,,
CHESTER,"Lewisville High, 3971 Lewisville High School Road, Richburg, SC, 29729",LEWISVILLE HIGH,http://chester.lhs.schooldesk.net/,1201006,HIGH,small_green,A,100,,,,,100
CHESTER,"Chester Park Elementary School of Literacy and Technology, 835 Lancaster Highway, Chester, SC, 29706",CHESTER PARK CENTER OF LITERACY,http://chester.literacy.schooldesk.net/,1201021,ELEM,small_red,F,58.7,58.7,,,,
CHESTER,"Lewisville Middle, 3595 Lancaster Highway, Richburg, SC, 29729",LEWISVILLE MIDDLE,http://chester.lms.schooldesk.net/,1201008,MIDD,small_green,A,90.1,,,90.1,,
CHARLESTON,"Chicora Elementary, 3795 Spruill Avenue, North Charleston, SC, 29405",CHICORA ELEMENTARY,http://chicora.ccsdschools.com/,1001033,ELEM,small_red,F,34,34,,,,
KERSHAW,"Camden High, 1022 Ehrenclou Road, Camden, SC, 29020",CAMDEN HIGH,http://chs.kcsdschools.com/,2801005,HIGH,small_purple,D,67.7,,,,,67.7
SUMTER 1,"Crestwood High, 2000 Oswego Road, Sumter, SC, 29153",CRESTWOOD HIGH,http://chs.sumterschools.net/,4301042,HIGH,small_purple,D,66.7,,,,,66.7
AIKEN,"Chukker Creek Elementary, 1830 Chukker Creek Road, Aiken, SC, 29803",CHUKKER CREEK ELEMENTARY,http://chukker.acps.schoolfusion.us/,201056,ELEM,small_yellow,B,80.9,80.9,,,,
CLARENDON 3,"East Clarendon Middle-High, 1101 Pope Street, Turbeville, SC, 29162",EAST CLARENDON MIDDLE/HIGH,http://clarendon3.org/ecmhs/,1403016,COMBO,small_yellow,B,82.2,,,84.9,,73.5
DORCHESTER 4,"Clay Hill Elementary, 387 South Railroad Avenue, Ridgeville, SC, 29472",CLAY HILL ELEMENTARY,http://clayhill.dorchester4.k12.sc.us/home.aspx,1804021,ELEM,small_green,A,97.5,97.5,,,,
