School Year,Division,School,Subject Area,Pass Rate,School Code,Correct,Address
2011-2012,Fauquier County ,Fauquier High,Mathematics,51.77%,780,No Exact Location,"Fauquier High, Fauquier County , VA"
2011-2012,Pittsylvania County ,John L. Hurt Elementary,Mathematics,51.79%,360,No Exact Location,"John L. Hurt Elementary, Pittsylvania County , VA"
2011-2012,Rappahannock County ,Rappahannock County High,Mathematics,51.80%,70,No Exact Location,"Rappahannock County High, Rappahannock County , VA"
2011-2012,Loudoun County ,Tuscarora High,Mathematics,51.82%,871,No Exact Location,"Tuscarora High, Loudoun County , VA"
2011-2012,Smyth County ,Atkins Elementary,Mathematics,51.92%,1530,No Exact Location,"Atkins Elementary, Smyth County , VA"
2011-2012,Frederick County ,Middletown Elementary,Mathematics,51.94%,500,No Exact Location,"Middletown Elementary, Frederick County , VA"
2011-2012,Norfolk City ,Poplar Halls Elementary,Mathematics,51.97%,70,No Exact Location,"Poplar Halls Elementary, Norfolk City , VA"
2011-2012,Norfolk City ,Sherwood Forest Elementary,Mathematics,51.97%,50,No Exact Location,"Sherwood Forest Elementary, Norfolk City , VA"
2011-2012,Norfolk City ,Willard Model Elementary,Mathematics,51.97%,1010,No Exact Location,"Willard Model Elementary, Norfolk City , VA"
2011-2012,Greene County ,Nathanael Greene Elementary,Mathematics,51.97%,500,No Exact Location,"Nathanael Greene Elementary, Greene County , VA"
2011-2012,Lancaster County ,Lancaster Middle,Mathematics,52.11%,580,No Exact Location,"Lancaster Middle, Lancaster County , VA"
2011-2012,Nottoway County ,Crewe Primary,Mathematics,52.14%,870,No Exact Location,"Crewe Primary, Nottoway County , VA"
2011-2012,Loudoun County ,Catoctin Elementary,Mathematics,52.19%,2222,No Exact Location,"Catoctin Elementary, Loudoun County , VA"
2011-2012,Washington County ,High Point Elementary,Mathematics,52.26%,540,No Exact Location,"High Point Elementary, Washington County , VA"
2011-2012,Hanover County ,Patrick Henry High,Mathematics,52.31%,1050,No Exact Location,"Patrick Henry High, Hanover County , VA"
2011-2012,Harrisonburg City ,Harrisonburg High,Mathematics,52.31%,10,No Exact Location,"Harrisonburg High, Harrisonburg City , VA"
