School Year,Division,School,Subject Area,Pass Rate,School Code,Address,Correct
2011-2012,Falls Church City ,Thomas Jefferson Elementary,Mathematics,87.92%,871,"Thomas Jefferson Elementary, 1255 Patriot Place, Forest, VA, 24551",Exact Location
2011-2012,Louisa County ,Thomas Jefferson Elementary,Mathematics,60.89%,871,"Thomas Jefferson Elementary, 1255 Patriot Place, Forest, VA, 24551",Exact Location
2011-2012,Chesterfield County ,Thomas Dale High,Mathematics,50.88%,871,"Thomas Dale High, 3626 W. Hundred Rd., Chester, VA, 23831",Exact Location
2011-2012,Chesterfield County ,Thelma Crenshaw Elementary,Mathematics,57.82%,871,"Thelma Crenshaw Elementary, 11901 Bailey Bridge Rd., Midlothian, VA, 23112",Exact Location
2011-2012,Bedford County ,Thaxton Elementary,Mathematics,64.71%,871,"Thaxton Elementary, 1081 Monorail Circle, Thaxton, VA, 24174",Exact Location
2011-2012,Amherst County ,Temperance Elementary,Mathematics,80.43%,871,"Temperance Elementary, 1981 Lowesville Rd, Amherst, VA, 24521",Exact Location
2011-2012,Arlington County ,Taylor Elementary,Mathematics,90.40%,871,"Taylor Elementary, 2600 N Stuart St, Arlington, VA, 22207",Exact Location
2011-2012,Essex County ,Tappahannock Elementary,Mathematics,66.94%,871,"Tappahannock Elementary, PO Box 399, Tappahannock, VA, 22560",Exact Location
2011-2012,Accomack County ,Tangier Combined,Mathematics,75.47%,871,"Tangier Combined, PO Box 245, Tangier, VA, 23440",Exact Location
2011-2012,Alexandria City ,T.C. Williams High,Mathematics,48.22%,871,"T.C. Williams High, 3330 King St, Alexandria, VA, 22302",Exact Location
2011-2012,Culpeper County ,Sycamore Park Elementary,Mathematics,63.77%,871,"Sycamore Park Elementary, 451 Radio Ln, Culpeper, VA, 22701",Exact Location
2011-2012,Chesterfield County ,Swift Creek Middle,Mathematics,78.10%,871,"Swift Creek Middle, 3700 Old Hundred Rd, South Midlothian, VA, 23112",Exact Location
2011-2012,Chesterfield County ,Swift Creek Elementary,Mathematics,83.51%,871,"Swift Creek Elementary, 13800 Genito Rd., Midlothian, VA, 23112",Exact Location
2011-2012,Arlington County ,Swanson Middle,Mathematics,86.62%,871,"Swanson Middle, 5800 N Washington Blvd, Arlington, VA, 22205",Exact Location
2011-2012,Dinwiddie County ,Sutherland Elementary,Mathematics,61.42%,871,"Sutherland Elementary, 6000 R. B. Pamplin Drive, Sutherland, VA, 23885",Exact Location
2011-2012,Dinwiddie County ,Sunnyside Elementary,Mathematics,64.86%,871,"Sunnyside Elementary, P O Box 250, Mckenney, VA, 23872",Exact Location
2011-2012,Augusta County ,Stuarts Draft Middle,Mathematics,72.73%,871,"Stuarts Draft Middle, 1088 Augusta Farm Rd, Stuarts Draft, VA, 24477",Exact Location
2011-2012,Augusta County ,Stuarts Draft High,Mathematics,69.82%,871,"Stuarts Draft High, 1028 Augusta Farm Rd, Stuarts Draft, VA, 24477",Exact Location
2011-2012,Augusta County ,Stuarts Draft Elementary,Mathematics,60.77%,871,"Stuarts Draft Elementary, 63 School Blvd, Stuarts Draft, VA, 24477",Exact Location
2011-2012,Albemarle County ,Stony Point Elementary,Mathematics,77.34%,871,"Stony Point Elementary, 3893 Stony Point Road, Keswick, VA, 22947",Exact Location
2011-2012,Bristol City ,Stonewall Jackson Elementary,Mathematics,51.85%,871,"Stonewall Jackson Elementary, 2045 Euclid Ave, Bristol, VA, 24201",Exact Location
2011-2012,Albemarle County ,Stone Robinson Elementary,Mathematics,59.07%,871,"Stone Robinson Elementary, 958 North Milton Road, Charlottesville, VA, 22911",Exact Location
2011-2012,Bedford County ,Stewartsville Elementary,Mathematics,43.48%,871,"Stewartsville Elementary, 1138 Wildcat Rd, Goodview, VA, 24095",Exact Location
2011-2012,Bedford County ,Staunton River Middle,Mathematics,44.39%,871,"Staunton River Middle, 1293 Golden Eagle Drive, Moneta, VA, 24121",Exact Location
2011-2012,Bedford County ,Staunton River High,Mathematics,36.63%,871,"Staunton River High, 1095 Golden Eagle Dr, Moneta, VA, 24121",Exact Location
2011-2012,Carroll County ,St. Paul School,Mathematics,63.47%,871,"St. Paul School, 231 Flower Gap Road, Cana, VA, 24317",Exact Location
2011-2012,Chesterfield County ,Spring Run Elementary,Mathematics,84.47%,8888,"Spring Run Elementary, 13901 Spring Run Rd, Midlothian, VA, 23112",Exact Location
2011-2012,Chesapeake City ,Sparrow Road Intermediate,Mathematics,60.70%,50,"Sparrow Road Intermediate, 1605 Sparrow Rd, Chesapeake, VA, 23325",Exact Location
2011-2012,Chesapeake City ,Southwestern Elementary,Mathematics,54.58%,50,"Southwestern Elementary, 4410 Airline Blvd, Chesapeake, VA, 23321",Exact Location
2011-2012,Suffolk City ,Southwestern Elementary,Mathematics,65.82%,50,"Southwestern Elementary, 4410 Airline Blvd, Chesapeake, VA, 23321",Exact Location
2011-2012,Dinwiddie County ,Southside Elementary,Mathematics,57.73%,50,"Southside Elementary, 10305 Boydton Plank Rd, Dinwiddie, VA, 23841",Exact Location
2011-2012,Pittsylvania County ,Southside Elementary,Mathematics,70.79%,50,"Southside Elementary, 10305 Boydton Plank Rd, Dinwiddie, VA, 23841",Exact Location
2011-2012,Chesapeake City ,Southeastern Elementary,Mathematics,82.89%,50,"Southeastern Elementary, 1853 Battlefield Blvd S, Chesapeake, VA, 23322",Exact Location
2011-2012,Alleghany County ,Sharon Elementary,Mathematics,86.36%,50,"Sharon Elementary, 100 Sharon School Circle, Clifton Forge, VA, 24422",Exact Location
2011-2012,Albemarle County ,Scottsville Elementary,Mathematics,55.29%,50,"Scottsville Elementary, 7868 Scottsville Road, Scottsville, VA, 24590",Exact Location
2011-2012,Danville City ,Schoolfield Elementary,Mathematics,62.65%,50,"Schoolfield Elementary, 1400 W Main St, Danville, VA, 24541",Exact Location
2011-2012,Dickenson County ,Sandlick Elementary,Mathematics,66.67%,50,"Sandlick Elementary, 186 Anderson Lane, Birchleaf, VA, 24220",Exact Location
2011-2012,Alexandria City ,Samuel W. Tucker Elementary,Mathematics,47.26%,50,"Samuel W. Tucker Elementary, 435 Ferdinand Day Dr, Alexandria, VA, 22304",Exact Location
2011-2012,Chesterfield County ,Salem Church Middle,Mathematics,62.04%,50,"Salem Church Middle, 9700 Salem Church Rd.;, Richmond, VA, 23237",Exact Location
