School Year,System Id,System Name,School Id,School Name,Grade Configuration,Grade Cluster,Achievement Points,Progress Points,Achievement Gap Points,ETB Points,EL/ED/SWD Performance Points,Challenge Points,Marker_Type,CCRPI Score,address
2012,629,Clarke County,296,Burney-Harris-Lyons Middle School,"06, 07, 08",M,51.9,10,12,0,2.4,2.4,measle_turquoise,76.3,"Burney-Harris-Lyons Middle School, 1600 Tallassee Rd, Athens, GA, 30606-1047"
2012,648,Douglas County,2054,Turner Middle School,"06, 07, 08",M,53,9.5,12,0,1.8,1.8,measle_turquoise,76.3,"Turner Middle School, 7101 Turner Dr, Lithia Springs, GA, 30122-2216"
2012,622,Carroll County,208,Mt. Zion Middle School,"06, 07, 08",M,55.2,9.3,9.8,0.5,1.5,2,measle_turquoise,76.3,"Mt. Zion Middle School , 132 Mount Zion St, Carrollton, GA, 30117-4965"
2012,669,Hall County,294,West Hall Middle School,"06, 07, 08",M,52.9,10.3,11.3,0.5,1.5,2,measle_turquoise,76.5,"West Hall Middle School, 5470 McEver Rd, Oakwood, GA, 30566-3505"
2012,710,Paulding County,394,East Paulding Middle School,"06, 07, 08",M,53.9,9.2,11.3,0.5,1.7,2.2,measle_turquoise,76.6,"East Paulding Middle School, 2945 Hiram Acworth Hwy , Dallas, GA, 30157-7348"
2012,644,DeKalb County,397,Stephenson Middle School,"06, 07, 08",M,54.1,9.2,10.5,0,2.9,2.9,measle_turquoise,76.7,"Stephenson Middle School, 922 Stephenson Rd, Stone Mountain, GA, 30087-4619"
2012,689,Liberty County,195,Snelson-Golden Middle School,"06, 07, 08",M,53.8,8.8,12,0,2.2,2.2,measle_turquoise,76.8,"Snelson-Golden Middle School, 465 Coates Rd, Hinesville, GA, 31313-1030"
2012,660,Fulton County,505,Sandtown Middle School,"06, 07, 08",M,52.3,9.4,11.3,0.5,3.4,3.9,measle_turquoise,76.9,"Sandtown Middle School , 5400 Campbellton Rd SW, Atlanta, GA, 30331-7716"
2012,691,Long County,105,Walker Middle School,"04, 05, 06, 07, 08",M,54.3,9.4,10.5,0.5,2.3,2.8,measle_turquoise,77,"Walker Middle School, 116 Main Street Ext SW , Ludowici, GA, 31316"
2012,667,Gwinnett County,4058,Summerour Middle School,"06, 07, 08",M,53.7,9.4,10.5,1,2.5,3.5,measle_turquoise,77.1,"Summerour Middle School, 585 Mitchell Rd, Norcross, GA, 30071-4223"
2012,633,Cobb County,2560,Griffin Middle School,"06, 07, 08",M,54.3,9.9,9.8,0.5,2.7,3.2,measle_turquoise,77.2,"Griffin Middle School, 4010 King Springs Rd SE , Smyrna, GA, 30082-4204"
2012,633,Cobb County,202,Lindley Middle School,"06, 07, 08",M,55.2,10.7,9,0,2.4,2.4,measle_turquoise,77.3,"Lindley Middle School, 50 Veterans Memorial Hwy SE , Mableton, GA, 30126-2612"
2012,648,Douglas County,103,Yeager Middle School,"06, 07, 08",M,52.5,8.7,11.3,0,4.9,4.9,measle_turquoise,77.4,"Yeager Middle School, 4000 Kings Hwy, Douglasville, GA, 30135-3764"
