School Year,System Id,System Name,School Id,School Name,Grade Configuration,Grade Cluster,Achievement Points,Progress Points,Achievement Gap Points,ETB Points,EL/ED/SWD Performance Points,Challenge Points,CCRPI Score,Marker_Type,address
2012,644,DeKalb County,2061,McLendon Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,46,8.2,12.8,1,0,1,68,small_blue,"McLendon Elementary School, 3169 Hollywood Dr, Decatur, GA, 30033-5104"
2012,644,DeKalb County,3052,Canby Lane Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,48.1,7.4,8.3,0.5,3.8,4.3,68.1,small_blue,"Canby Lane Elementary School, 4150 Green Hawk Trl, Decatur, GA, 30035-2759"
2012,660,Fulton County,2058,Bethune Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,50,9.7,7.5,0,0.9,0.9,68.1,small_blue,"Bethune Elementary School, 5925 Old Carriage Dr, College Park, GA, 30349-4257"
2012,747,Walton County,112,Harmony Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,49.4,10.7,7.5,0.5,0,0.5,68.1,small_blue,"Harmony Elementary School, 934 Harmony Church Rd NE, Monroe, GA, 30655-6206"
2012,660,Fulton County,5052,Conley Hills Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,47,10.9,6,1,3.3,4.3,68.2,small_blue,"Conley Hills Elementary School, 2580 Delowe Dr , East Point, GA, 30344-2345"
2012,660,Fulton County,109,Renaissance ES,"PK, KK, 01, 02, 03, 04, 05",E,52.1,9,6.8,0.5,0,0.5,68.4,small_blue,"Renaissance ES, 7250 Hall Rd , Fairburn, GA, 30213-1946"
2012,622,Carroll County,477,Whitesburg Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,51.8,8.4,8.3,0,0,0,68.5,small_blue,"Whitesburg Elementary School, 868 Main St, Whitesburg, GA, 30185-3111"
2012,633,Cobb County,397,Green Acres Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,43.4,10.7,11.3,0.5,2.6,3.1,68.5,small_blue,"Green Acres Elementary School, 2000 Gober Ave SE , Smyrna, GA, 30080-1111"
2012,644,DeKalb County,108,Princeton Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,44.7,10.1,11.3,1,1.7,2.7,68.8,small_blue,"Princeton Elementary School, 1301 S Deshon Rd , Lithonia, GA, 30058-6032"
2012,628,Cherokee County,409,Canton Elementary,"PK, KK, 01, 02, 03, 04, 05, 06",E,48.1,7.9,9,1,2.9,3.9,68.9,small_blue,"Canton Elementary, 712 Marietta Hwy, Canton, GA, 30114-2609"
2012,644,DeKalb County,2050,Allgood Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,50.7,8.7,8.3,0.5,0.9,1.4,69.1,small_blue,"Allgood Elementary School, 659 Allgood Rd, Stone Mountain, GA, 30083-4576"
2012,707,Newton County,124,Fairview Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,50.4,8.7,7.5,1,1.6,2.6,69.2,small_blue,"Fairview Elementary School, 3325 Fairview Road, Covington, GA, 30016"
2012,644,DeKalb County,805,International Community School,"KK, 01, 02, 03, 04, 05, 06",E,48.1,10.2,10.5,0.5,0,0.5,69.3,small_blue,"International Community School, 3260 Covington Hwy , Decatur, GA, 30032-1121"
2012,644,DeKalb County,1053,Chapel Hill Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,47.4,9.1,12,1,0,1,69.5,small_blue,"Chapel Hill Elementary School, 3536 Radcliffe Blvd, Decatur, GA, 30034-5911"
2012,633,Cobb County,3062,LaBelle Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,43.2,9.4,11.3,0.5,5.2,5.7,69.6,small_blue,"LaBelle Elementary School, 230 Cresson Dr SW, Marietta, GA, 30060-5536"
2012,644,DeKalb County,1071,Woodward Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,43.5,10.1,14.3,1,0.7,1.7,69.6,small_blue,"Woodward Elementary School, 3034 Curtis Dr NE , Atlanta, GA, 30319-4163"
2012,644,DeKalb County,4052,Murphy Candler Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,47.7,9.3,11.3,1.5,0,1.5,69.8,small_blue,"Murphy Candler Elementary School, 6775 S Goddard Rd, Lithonia, GA, 30038-4124"
2012,648,Douglas County,184,Dorsett Shoals Elementary School,"KK, 01, 02, 03, 04, 05",E,50.4,8.8,8.3,0.5,2.2,2.7,70.2,small_blue,"Dorsett Shoals Elementary School, 5866 Dorsett Shoals Rd , Douglasville, GA, 30135-4816"
2012,629,Clarke County,4060,Oglethorpe Avenue Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,50.5,9.7,8.3,0,1.8,1.8,70.3,small_blue,"Oglethorpe Avenue Elementary School, 1150 Oglethorpe Ave, Athens, GA, 30606-2130"
2012,633,Cobb County,3064,Milford Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,47,10.2,8.3,0.5,4.3,4.8,70.3,small_blue,"Milford Elementary School, 2390 Austell Rd SW, Marietta, GA, 30008-4579"
2012,628,Cherokee County,105,"William G. Hasty, Sr. Elementary School","PK, KK, 01, 02, 03, 04, 05, 06",E,52.5,8.6,8.3,0.5,0.5,1,70.4,small_blue,"William G. Hasty, Sr. Elementary School, 205 Brown Industrial Pkwy , Canton, GA, 30114-8007"
2012,633,Cobb County,2050,Argyle Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,45.2,9.6,9,0.5,6.1,6.6,70.4,small_blue,"Argyle Elementary School, 2420 Spring Rd SE, Smyrna, GA, 30080-3828"
2012,633,Cobb County,1067,Powers Ferry Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,45,9.6,10.5,1,4.4,5.4,70.5,small_blue,"Powers Ferry Elementary School, 403 Powers Ferry Rd SE, Marietta, GA, 30067-7315"
2012,633,Cobb County,2054,Clarkdale Elementary School,"KK, 01, 02, 03, 04, 05",E,49.9,10.4,8.3,1,1,2,70.6,small_blue,"Clarkdale Elementary School, 4455 Wesley Dr, Austell, GA, 30106-1647"
